"Date Time, GMT-05:00",Full Range_μS/cm,Temp_F,Specific Conductance_μS/cm
6/26/2019 14:00,534.1,76.93,534.7
6/26/2019 14:15,496,77.04,496
6/26/2019 14:30,443.4,77.11,443
6/26/2019 14:45,404.2,77.22,403.3
6/26/2019 15:00,384.3,77.25,383.3
6/26/2019 15:15,334.2,77.16,333.7
6/26/2019 15:30,308.9,76.87,309.5
6/26/2019 15:45,517.9,76.53,520.9
6/26/2019 16:00,511,76.26,515.6
6/26/2019 16:15,501.3,75.99,507.5
6/26/2019 16:30,490.9,75.67,498.8
6/26/2019 16:45,489.9,75.31,499.9
6/26/2019 17:00,471.5,75.06,482.6
6/26/2019 17:15,445.1,74.77,457.2
6/26/2019 17:30,552.6,74.46,569.6
6/26/2019 17:45,554.2,74.16,573.4
6/26/2019 18:00,555,73.85,576.3
6/26/2019 18:15,556.5,73.58,579.8
6/26/2019 18:30,557.7,73.36,582.5
6/26/2019 18:45,557.4,73.11,584
6/26/2019 19:00,556.7,72.88,584.9
6/26/2019 19:15,556.5,72.59,586.7
6/26/2019 19:30,555.5,72.34,587.5
6/26/2019 19:45,554.5,72.05,588.5
6/26/2019 20:00,553.8,71.74,590
6/26/2019 20:15,552.8,71.44,591.1
6/26/2019 20:30,551.5,71.17,591.7
6/26/2019 20:45,550.8,70.86,593.1
6/26/2019 21:00,550.2,70.63,594.2
6/26/2019 21:15,549.2,70.38,595
6/26/2019 21:30,548.2,70.14,595.6
6/26/2019 21:45,547.9,69.91,597
6/26/2019 22:00,548.7,69.71,599.4
6/26/2019 22:15,548.7,69.51,600.9
6/26/2019 22:30,548,69.33,601.4
6/26/2019 22:45,546.6,69.19,601
6/26/2019 23:00,545.6,69.01,601.2
6/26/2019 23:15,544.5,68.88,601
6/26/2019 23:30,543.9,68.74,601.4
6/26/2019 23:45,543.2,68.58,601.8
6/27/2019 0:00,541.8,68.45,601.2
6/27/2019 0:15,540.7,68.32,601
6/27/2019 0:30,539.7,68.18,600.9
