"","Storm_ID","Vol_mcubed","length_H","Intensity","H_Index"
"1","2013-01-15 02.15.00",26237.7666111031,5,5247.55332222062,90.4623675322875
"2","2013-01-15 07.30.00",18600.5758406269,3,6200.19194687562,63.3323070290486
"3","2013-01-15 10.45.00",2607.71979248136,0.5,5215.43958496272,NA
"4","2013-01-15 11.30.00",23962.1133192714,5,4792.42266385429,6.05102599717524
"5","2013-01-15 16.45.00",2455.56654809854,1,2455.56654809854,50.2844728410857
"6","2013-01-15 18.00.00",24727.5936229152,5.5,4495.92611325731,16.4116309133603
"7","2013-01-15 23.45.00",83340.8817316769,11.25,7408.07837614906,4.51769866035687
"8","2013-01-16 11.15.00",1227.97216026385,0.5,2455.9443205277,NA
"9","2013-01-16 12.00.00",5114.55667746574,1.5,3409.70445164383,NA
"10","2013-01-16 13.45.00",29824.4151220978,8.5,3508.7547202468,4.1447055535992
"11","2013-01-16 22.30.00",688.9748507444,0.5,1377.9497014888,1.33572146581596
"12","2013-01-18 20.15.00",0,0,NA,NA
"13","2013-01-18 20.30.00",403.089157680386,0.25,1612.35663072154,NA
"14","2013-01-18 21.00.00",1981.20485216623,1.25,1584.96388173298,19.9725139844154
"15","2013-01-18 22.30.00",2174.30943885132,1.5,1449.53962590088,5.15643586461575
"16","2013-01-19 00.15.00",339.760286977331,0.25,1359.04114790932,NA
"17","2013-01-19 00.45.00",331.233691266799,0.25,1324.9347650672,NA
"18","2013-01-20 21.00.00",342.827542636823,0.25,1371.31017054729,NA
"19","2013-01-20 21.30.00",2422.0134160285,1.75,1384.007666302,6.48925567599273
"20","2013-01-30 21.15.00",496.840940320362,0.25,1987.36376128145,NA
"21","2013-01-30 21.45.00",259547.029629361,14.25,18213.8266406569,158.914354772688
"22","2013-01-31 12.15.00",3105.85177743911,1.25,2484.68142195129,3.75040329394544
"23","2013-01-31 13.45.00",2746.30697421043,1.25,2197.04557936835,1.25150808411323
"24","2013-01-31 15.15.00",1007.65098426208,0.5,2015.30196852417,1.61176744215916
"25","2013-01-31 16.00.00",1433.45658883868,0.75,1911.27545178491,2.02296585493403
"26","2013-01-31 17.00.00",451.821017781402,0.25,1807.28407112561,NA
"27","2013-01-31 17.30.00",2431.34652298326,1.5,1620.89768198884,0.921022155560788
"28","2013-01-31 19.15.00",2888.53790077097,2,1444.26895038549,1.01266454835917
"29","2013-01-31 21.30.00",685.650692776606,0.5,1371.30138555321,1
"30","2013-01-31 22.15.00",680.349052031881,0.5,1360.69810406376,0.223221814577634
"31","2013-01-31 23.00.00",1007.38017438937,0.75,1343.17356585249,1.87579224410261
"32","2013-02-08 21.15.00",0,0,NA,NA
"33","2013-02-13 16.45.00",2737.78545978719,1.75,1564.44883416411,0.362186874427187
"34","2013-02-26 18.30.00",2847.03003911365,1.75,1626.87430806495,8.44453090706269
"35","2013-02-26 20.30.00",820.525590362565,0.5,1641.05118072513,NA
"36","2013-02-26 21.15.00",7678.58948687405,3.75,2047.62386316641,95.3571801064744
"37","2013-03-06 00.45.00",409.134647093004,0.25,1636.53858837202,NA
"38","2013-03-06 01.15.00",9971.33359480265,3.25,3068.10264455466,122.847441501008
"39","2013-03-06 04.45.00",758.67014710066,0.25,3034.68058840264,NA
"40","2013-03-06 05.15.00",7409.88055941487,3.5,2117.10873126139,6.03511877349394
"41","2013-03-12 03.45.00",5573.71706759142,2,2786.85853379571,94.0003991444429
"42","2013-03-12 06.00.00",11215.919613709,2.25,4984.85316164845,29.5303568162606
"43","2013-03-12 08.30.00",38599.7478246256,7.5,5146.63304328342,41.0587999988152
"44","2013-03-18 00.30.00",14723.3891754772,5,2944.67783509543,23.2061909254753
"45","2013-03-18 20.45.00",10976.0842323956,4.75,2310.75457524117,154.857813768611
"46","2013-03-31 10.15.00",3750.17286740996,1.25,3000.13829392797,79.0454132335697
"47","2013-03-31 11.45.00",2817.14366208914,1,2817.14366208914,69.649801889192
"48","2013-03-31 13.00.00",8596.39242011887,3.75,2292.3713120317,38.0330550164882
"49","2013-04-05 02.00.00",5608.24834886945,3.25,1725.61487657521,NA
"50","2013-04-05 05.30.00",7334.00834332493,4.25,1725.64902195881,24.9707621972257
"51","2013-04-05 14.30.00",22309.2950384031,8.25,2704.15697435189,86.9839167647978
"52","2013-04-12 05.45.00",1426.15577181153,0.5,2852.31154362307,NA
"53","2013-04-12 06.30.00",64243.0690150715,7.75,8289.42826000922,37.7146124572303
"54","2013-04-15 07.15.00",4395.11889454576,2.75,1598.2250525621,11.1006498991921
"55","2013-04-15 15.30.00",1519.75736158696,1,1519.75736158696,68.2129098725291
"56","2013-04-19 19.15.00",28685.9658076226,1.75,16391.9804614986,84.2254331545321
"57","2013-04-24 22.00.00",0,0,NA,NA
"58","2013-04-28 14.00.00",1716.41352548532,1,1716.41352548532,NA
"59","2013-04-28 15.15.00",4502.38223832218,2.75,1637.22990484443,1.58076724212801
"60","2013-05-06 17.45.00",51447.5886444038,7.5,6859.67848592051,3.52496109594583
"61","2013-05-07 05.45.00",2573.34449224222,1.75,1470.48256699556,9.9692396535642
"62","2013-05-07 15.00.00",55531.3782105409,6.5,8543.28895546783,14.8271384694755
"63","2013-05-07 22.30.00",1502.9645960901,0.75,2003.9527947868,10.6481377543887
"64","2013-05-07 23.30.00",5823.19794223675,3.5,1663.77084063907,7.37745207432965
"65","2013-05-08 12.00.00",92966.4569526654,14,6640.46121090467,4.1388905447083
"66","2013-05-09 02.15.00",2162.1244036674,1.5,1441.4162691116,1.33754398227699
"67","2013-05-09 04.00.00",340.979941324965,0.25,1363.91976529986,NA
